ref	value
C1	2.2uF 50V
C2	1000pF 10V
C3	1uF 10V
C4	1uF 10V
C5	1uF 10V
C6	1uF 10V
C7	1uF 10V
C8	0.47uF 25V
C9	0.47uF 25V
C10	0.47uF 25V
C11	1000pF 10V
C12	0.47uF 16V
C13	0.47uF 16V
C14	0.47uF 16V
C15	1uF 10V
C16	2.2uF 50V
C17	2.2uF 50V
D1	SMS3924-079LF
D2	STATUS
D3	ERR
D4	SMS3924-079LF
D5	SMS3924-079LF
D6	SMS3924-079LF
D7	SMS3924-079LF
K1	PWM
L1	47uF
P1	CONN_6
P2	CONN_5
P3	BOOT0
Q1	PSMN010-25YLC,115
Q2	PSMN010-25YLC,115
Q3	PSMN010-25YLC,115
Q4	PSMN010-25YLC,115
Q5	PSMN010-25YLC,115
Q6	PSMN010-25YLC,115
R1	100
R2	10.0k
R3	1.0k
R4	10.0k
R5	1.0k
R6	10.0k
R7	1.0k
R8	10.0k
R9	1.0k
R10	1k
R11	DNP
R12	DNP
R13	1k
R14	DNP
R15	1k
R16	1k
R17	33
R18	33
R19	33
R20	33
R21	33
R22	33
R23	1k
R24	1.0k
R25	10.0k
U1	V_REG_SWITCHING_LMR14203
U2	MCP1804T-3302I/OT
U4	STM32F103XX-48
U5	LM5109B
U6	LM5109B
U7	LM5109B
U8	CURR_SENSE
